img_id,annotator_id
PAT_1006_53_716.png,a1
PAT_1014_86_861.png,a1
PAT_1029_135_239.png,a1
PAT_106_159_325.png,a1
PAT_107_160_609.png,a1
PAT_1070_305_907.png,a1
PAT_1074_322_662.png,a1
PAT_1094_381_85.png,a1
PAT_1109_437_254.png,a1
PAT_117_179_983.png,a1
PAT_1210_738_915.png,a1
PAT_1255_876_939.png,a1
PAT_1276_957_406.png,a1
PAT_1278_965_701.png,a1
PAT_134_201_587.png,a1
PAT_1381_1314_517.png,a1
PAT_1400_1372_276.png,a1
PAT_1414_1429_59.png,a1
PAT_1423_1472_18.png,a1
PAT_1431_1495_511.png,a1
PAT_1453_1567_250.png,a1
PAT_1492_1705_578.png,a1
PAT_1516_1765_530.png,a1
PAT_1545_1867_547.png,a1
PAT_1549_1882_230.png,a1
PAT_1573_2499_849.png,a2
PAT_1582_2574_34.png,a2
PAT_1653_2916_346.png,a2
PAT_168_1486_97.png,a2
PAT_1688_3066_491.png,a2
PAT_1693_3103_879.png,a2
PAT_1710_3160_488.png,a2
PAT_1721_3219_737.png,a2
PAT_1725_3222_943.png,a2
PAT_1754_3308_390.png,a2
PAT_1783_3414_120.png,a2
PAT_1790_3425_942.png,a2
PAT_1803_3463_639.png,a2
PAT_181_833_109.png,a2
PAT_1818_3568_132.png,a2
PAT_183_283_495.png,a2
PAT_1842_3615_850.png,a2
PAT_1884_3730_813.png,a2
PAT_1902_3790_168.png,a2
PAT_1926_3871_371.png,a2
PAT_1984_4038_265.png,a2
PAT_1989_4061_934.png,a2
PAT_1995_4080_695.png,a2
PAT_2020_4174_799.png,a2
PAT_2025_4229_541.png,a2
PAT_2051_4356_460.png,a2
PAT_2088_4524_465.png,a3
PAT_2127_4662_596.png,a3
PAT_2140_4726_141.png,a3
PAT_236_361_180.png,a3
PAT_241_367_374.png,a3
PAT_241_367_89.png,a3
PAT_26_37_865.png,a3
PAT_265_406_276.png,a3
PAT_276_425_539.png,a3
PAT_288_441_312.png,a3
PAT_289_1399_481.png,a3
PAT_302_651_529.png,a3
PAT_319_680_832.png,a3
PAT_333_1469_499.png,a3
PAT_359_4450_86.png,a3
PAT_369_755_391.png,a3
PAT_374_762_794.png,a3
PAT_377_1580_534.png,a3
PAT_38_54_234.png,a3
PAT_380_1540_959.png,a3
PAT_394_1562_579.png,a3
PAT_409_812_974.png,a3
PAT_411_815_692.png,a3
PAT_419_832_706.png,a3
PAT_42_58_13.png,a3
PAT_426_842_458.png,a4
PAT_430_848_476.png,a4
PAT_435_854_68.png,a4
PAT_441_861_415.png,a4
PAT_46_881_939.png,a4
PAT_461_895_72.png,a4
PAT_479_919_97.png,a4
PAT_492_937_958.png,a4
PAT_53_1370_245.png,a4
PAT_544_3299_671.png,a4
PAT_549_1043_676.png,a4
PAT_55_84_506.png,a4
PAT_620_1176_980.png,a4
PAT_621_1183_56.png,a4
PAT_636_1204_521.png,a4
PAT_645_4043_374.png,a4
PAT_680_1289_182.png,a4
PAT_682_1292_986.png,a4
PAT_684_1302_588.png,a4
PAT_692_1308_364.png,a4
PAT_701_4056_457.png,a4
PAT_705_4015_413.png,a4
PAT_714_1337_709.png,a4
PAT_724_1369_896.png,a4
PAT_741_1401_619.png,a4
PAT_759_1538_566.png,a5
PAT_778_1471_835.png,a5
PAT_79_120_532.png,a5
PAT_793_1512_327.png,a5
PAT_795_1508_925.png,a5
PAT_796_1510_130.png,a5
PAT_802_1516_910.png,a5
PAT_805_1517_154.png,a5
PAT_814_1532_545.png,a5
PAT_821_1547_77.png,a5
PAT_838_1585_282.png,a5
PAT_847_1610_165.png,a5
PAT_867_1650_901.png,a5
PAT_868_1657_698.png,a5
PAT_875_1668_588.png,a5
PAT_875_1669_946.png,a5
PAT_882_1677_789.png,a5
PAT_920_1747_19.png,a5
PAT_944_1795_371.png,a5
PAT_958_1812_62.png,a5
PAT_962_1823_942.png,a5
PAT_963_1820_823.png,a5
PAT_966_1825_584.png,a5
PAT_967_1827_247.png,a5
PAT_98_152_562.png,a5
PAT_981_1848_906.png,a5
PAT_995_1867_5.png,a5
